keypoints,iteration_number,delta_loop,delta_interference,delta_extract_featurepoints,dp,delta_camera,lin_factor
"[[189, 208], [249, 212], [207, 216], [227, 216], [217, 216], [230, 206], [193, 217], [254, 205]]",86,0.133644,0.023754,0.028016,"[ 3.07059635e-03 -5.84306977e-03 -2.85727885e-05  2.38821481e-08
 -1.83099692e-07  4.59944735e-05]",0.068738,0
"[[189, 209], [249, 213], [207, 216], [228, 217], [218, 217], [230, 207], [193, 217], [254, 206]]",87,0.134947,0.024189,0.028035,"[ 3.49200910e-03 -6.15694229e-05  7.03465722e-06 -8.67449640e-08
  5.23516536e-08  4.21015201e-06]",0.065766,0
"[[188, 209], [248, 212], [207, 217], [227, 218], [217, 218], [229, 207], [193, 218], [253, 206]]",88,0.134871,0.025457,0.029185,"[ 2.99042144e-03 -2.81551286e-03  3.17187887e-06 -2.89418285e-07
 -9.18427773e-08  2.47231573e-05]",0.065997,0
"[[188, 209], [248, 212], [206, 216], [227, 217], [217, 217], [229, 207], [192, 217], [253, 206]]",89,0.132681,0.02327,0.02712,"[ 2.72488078e-03  7.08155127e-04  5.00602388e-06 -3.24077333e-08
  6.26085878e-08 -5.91399328e-06]",0.065627,0
"[[188, 210], [247, 213], [206, 217], [226, 218], [216, 218], [229, 208], [192, 218], [252, 207]]",90,0.136289,0.024992,0.028966,"[ 3.80861411e-03 -2.98545008e-03 -2.02043708e-05  7.04860532e-08
 -1.32050142e-07  3.52530096e-05]",0.066047,0
"[[187, 210], [246, 213], [205, 217], [226, 218], [216, 218], [228, 208], [191, 218], [252, 207]]",91,0.138217,0.024886,0.028673,"[ 2.90789517e-03 -6.95536944e-04 -4.65555671e-06 -5.24066060e-09
 -1.93690058e-08  1.15138337e-05]",0.071258,0
"[[187, 210], [246, 214], [205, 217], [226, 218], [215, 218], [228, 208], [191, 218], [252, 207]]",92,0.127903,0.025118,0.032007,"[ 3.37567994e-03 -3.00850587e-03 -1.52193529e-05  2.37973675e-08
 -9.00877643e-08  3.41110326e-05]",0.056363,0
"[[186, 210], [246, 214], [205, 217], [225, 218], [215, 218], [227, 209], [191, 218], [252, 207]]",93,0.133748,0.025167,0.028964,"[ 2.77064794e-03  4.34916815e-03  2.13881594e-05 -1.69369914e-08
  1.97010441e-07 -2.78223878e-05]",0.065474,0
"[[186, 210], [245, 213], [204, 217], [225, 218], [215, 219], [226, 208], [190, 219], [251, 207]]",94,0.139297,0.023197,0.0305,"[ 2.18424214e-03 -7.69344134e-05  7.94487842e-06 -1.84513663e-07
 -3.00206863e-09  4.05155492e-06]",0.066684,0
"[[186, 210], [245, 212], [204, 217], [224, 218], [214, 218], [226, 207], [190, 218], [251, 207]]",95,0.127316,0.023166,0.030399,"[ 2.24095739e-03 -2.09927718e-03 -1.42360592e-05  1.13898341e-08
 -9.50921836e-08  2.00006091e-05]",0.056219,0
"[[185, 210], [244, 213], [203, 217], [224, 218], [213, 218], [225, 208], [189, 218], [250, 207]]",96,0.13441,0.023575,0.027464,"[ 2.16006822e-03  2.15546063e-03  1.01007341e-05 -3.12061132e-08
  8.69801156e-08 -1.18339237e-05]",0.067279,0
"[[185, 210], [244, 212], [203, 217], [223, 218], [213, 218], [225, 208], [189, 219], [250, 207]]",97,0.126437,0.02415,0.028272,"[ 1.62186356e-03 -1.27041152e-03 -1.77949073e-05  9.27244753e-08
 -8.64350914e-08  1.13800728e-05]",0.056124,0
