keypoints,iteration_number,delta_loop,delta_interference,delta_extract_featurepoints,dp,delta_camera,lin_factor
"[[228, 172], [291, 184], [248, 183], [270, 172], [259, 184], [271, 180], [232, 180], [296, 169]]",87,0.124203,0.02399,0.028088,"[-2.12738065e-03 -5.88093788e-02 -1.93339831e-04 -1.07184199e-06
 -1.49973039e-06  3.30410739e-04]",0.056897,0
"[[228, 172], [291, 184], [248, 183], [270, 173], [259, 184], [271, 180], [232, 180], [296, 169]]",88,0.139595,0.02331,0.027138,"[-1.12827349e-03 -5.62745139e-02 -1.82256642e-04 -1.01210312e-06
 -1.40743706e-06  3.14092467e-04]",0.068114,0
"[[228, 172], [292, 184], [248, 183], [270, 173], [259, 184], [272, 180], [232, 180], [296, 169]]",89,0.13414,0.024339,0.028613,"[-5.90582182e-04 -5.39582473e-02 -1.63874446e-04 -1.10298526e-06
 -1.29985466e-06  2.96341324e-04]",0.066517,0
"[[228, 172], [292, 184], [249, 183], [270, 174], [260, 184], [272, 180], [232, 180], [296, 169]]",90,0.134477,0.025055,0.028959,"[ 1.19511577e-03 -4.99155389e-02 -1.39353820e-04 -1.14160549e-06
 -1.15916356e-06  2.70994157e-04]",0.067079,0
"[[228, 172], [292, 184], [249, 183], [270, 174], [260, 184], [272, 180], [232, 180], [296, 169]]",91,0.12491,0.023393,0.027253,"[ 1.19511577e-03 -4.99155389e-02 -1.39353820e-04 -1.14160549e-06
 -1.15916356e-06  2.70994157e-04]",0.057465,0
"[[228, 172], [292, 184], [249, 183], [269, 175], [260, 184], [272, 180], [232, 180], [296, 169]]",92,0.133557,0.023561,0.027482,"[ 2.97958973e-03 -4.57868949e-02 -1.15851034e-04 -1.13202711e-06
 -1.00424491e-06  2.45598469e-04]",0.066858,0
"[[228, 172], [292, 183], [249, 183], [269, 176], [259, 184], [272, 179], [232, 180], [296, 169]]",93,0.134335,0.024342,0.02811,"[ 4.59925635e-03 -4.05334455e-02 -9.87134398e-05 -9.32172610e-07
 -8.23909075e-07  2.08882372e-04]",0.067298,0
"[[228, 173], [291, 183], [248, 183], [269, 177], [259, 184], [272, 179], [232, 181], [296, 170]]",94,0.132883,0.024411,0.028179,"[ 5.53415779e-03 -3.78726362e-02 -9.88497700e-05 -6.90478150e-07
 -7.55001095e-07  1.92187715e-04]",0.066168,0
"[[228, 173], [291, 183], [248, 183], [268, 177], [259, 184], [271, 178], [232, 181], [296, 170]]",95,0.136235,0.024496,0.028648,"[ 7.11605397e-03 -3.35155766e-02 -7.56050528e-05 -6.80614029e-07
 -6.03606225e-07  1.63443497e-04]",0.066907,0
"[[228, 173], [291, 183], [248, 182], [268, 178], [259, 184], [271, 177], [232, 181], [296, 170]]",96,0.133982,0.024234,0.028262,"[ 9.10091987e-03 -2.84073230e-02 -5.27168753e-05 -5.69814808e-07
 -4.17082131e-07  1.30014050e-04]",0.067193,0
